"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"ratchet_down","motion","move by degrees in one direction only","1"," ""a ratcheting lopping tool"""
"rattle","motion","shake and cause to make a rattling noise","3","shake and cause to make a rattling noise"
"re-enter","motion","enter again","2"," ""You cannot re-enter the country with this visa"""
"re-start","motion","start an engine again, for example","1","start an engine again, for example"
"reach","motion","reach a destination, either real or abstract","9"," ""We hit Detroit by noon""; ""The water reached the doorstep""; ""We barely made it to the finish line""; ""I have to hit the MAC machine before the weekend starts"""
"rear","motion","stand up on the hind legs, of quadrupeds","4"," ""The horse reared in terror"""
"rear_back","motion","rear backwards on its hind legs","2"," ""the frightened horse reared back"""
"rebound","motion","spring back","2"," spring away from an impact; ""The rubber ball bounced""; ""These particles do not resile but they unite after they collide"""
"recede","motion","pull back or move away or backward","2"," ""The enemy withdrew""; ""The limo pulled away from the curb"""
"reciprocate","motion","alternate the direction of motion of","1"," ""the engine reciprocates the propeller"""
"recline","motion","move the upper body backwards and down","1","move the upper body backwards and down"
"recoil","motion","draw back, as with fear or pain","2"," ""she flinched when they showed the slaughtering of the calf"""
"recommit","motion","send back to a committee","1"," ""The bill was recommitted three times in the House"""
"reconvene","motion","meet again","2"," ""The bill will be considered when the Legislature reconvenes next Fall"""
"recurve","motion","curve or bend (something) back or down","1","curve or bend (something) back or down"
"recycle","motion","cause to repeat a cycle","1","cause to repeat a cycle"
"red-eye","motion","travel on an overnight flight","1"," ""The candidate red-eyed from California to the East Coast the night before the election to give a last stump speech"""
"redirect","motion","channel into a new direction","2"," ""redirect your attention to the danger from the fundamentalists"""
"reef","motion","lower and bring partially inboard","1"," ""reef the sailboat's mast"""
"reel","motion","walk as if unable to control one's movements","3"," ""The drunken man staggered into the room"""
"reeve","motion","pass a rope through","1"," ""reeve an opening"""
"refer","motion","send or direct for treatment, information, or a decision","7"," ""refer a patient to a specialist""; ""refer a bill to a committee"""
"refloat","motion","set afloat again","1"," ""refloat a grounded boat"""
"regurgitate","motion","pour or rush back","1"," ""The blood regurgitates into the heart ventricle"""
"rein","motion","stop or slow up one's horse or oneself by or as if by pulling the reins","2"," ""They reined in in front of the post office"""
"rein_in","motion","stop or slow up one's horse or oneself by or as if by pulling the reins","2"," ""They reined in in front of the post office"""
"remount","motion","mount again","2"," ""he remounted his horse"""
"remove","motion","shift the position or location of, as for business, legal, educational, or military purposes","7"," ""He removed his children to the countryside""; ""Remove the troops to the forest surrounding the city""; ""remove a case to another court"""
"reorient","motion","cause to turn","1","cause to turn"
"repair","motion","move, travel, or proceed toward some place","2"," ""He repaired to his cabin in the woods"""
"replicate","motion","bend or turn backward","1","bend or turn backward"
"reposition","motion","change place or direction","1"," ""Shift one's position"""
"resile","motion","spring back","1"," spring away from an impact; ""The rubber ball bounced""; ""These particles do not resile but they unite after they collide"""
"resort","motion","move, travel, or proceed toward some place","2"," ""He repaired to his cabin in the woods"""
"restart","motion","start an engine again, for example","1","start an engine again, for example"
"resurface","motion","reappear on the surface","1","reappear on the surface"
"retire","motion","pull back or move away or backward","8"," ""The enemy withdrew""; ""The limo pulled away from the curb"""
"retrace","motion","to go back over again","2"," ""we retraced the route we took last summer""; ""trace your path"""
"retract","motion","pull away from a source of disgust or fear","2","pull away from a source of disgust or fear"
"retransmit","motion","transmit again","1","transmit again"
"retreat","motion","pull back or move away or backward","2"," ""The enemy withdrew""; ""The limo pulled away from the curb"""
"retroflex","motion","bend or turn backward","1","bend or turn backward"
"retrograde","motion","move backward in an orbit, of celestial bodies","1","move backward in an orbit, of celestial bodies"
"return","motion","go or come back to place, condition, or activity where one has been before","12"," ""return to your native land""; ""the professor returned to his teaching position after serving as Dean"""
"reverberate","motion","spring back","2"," spring away from an impact; ""The rubber ball bounced""; ""These particles do not resile but they unite after they collide"""
"revisit","motion","visit again","1"," ""We revisited Rome after 25 years"""
"revolve","motion","turn on or around an axis or a center","3"," ""The Earth revolves around the Sun""; ""The lamb roast rotates on a spit over the fire"""
"revolve_around","motion","move around in a circular motion","2"," ""The Earth revolves around the Sun"""
"rhumba","motion","dance the rhumba","1","dance the rhumba"
"ricochet","motion","spring back","2"," spring away from an impact; ""The rubber ball bounced""; ""These particles do not resile but they unite after they collide"""
"ride","motion","sit and travel on the back of animal, usually while controlling its motions","6"," ""She never sat a horse!""; ""Did you ever ride a camel?""; ""The girl liked to drive the young mare"""
"ride_away","motion","ride away on a horse, for example","2","ride away on a horse, for example"
"ride_herd","motion","driving animals such as horses and cattle while riding along with them","2"," ""Joe was riding herd during the day"""
"ride_horseback","motion","ride on horseback","1","ride on horseback"
"ride_off","motion","ride away on a horse, for example","2","ride away on a horse, for example"
"riffle","motion","stir up (water) so as to form ripples","2","stir up (water) so as to form ripples"
"right","motion","put in or restore to an upright position","1"," ""They righted the sailboat that had capsized"""
"rim","motion","roll around the rim of","2"," ""the ball rimmed the basket"""
"rip","motion","move precipitously or violently","4"," ""The tornado ripped along the coast"""
"riposte","motion","make a return thrust","1"," ""his opponent riposted"""
"ripple","motion","stir up (water) so as to form ripples","3","stir up (water) so as to form ripples"
"rise","motion","move upward","17"," ""The fog lifted""; ""The smoke arose from the forest fire""; ""The mist uprose from the meadows"""
"rise_up","motion","come to the surface","2","come to the surface"
"roam","motion","move about aimlessly or without any destination, often in search of food or employment","2"," ""The gypsies roamed the woods""; ""roving vagabonds""; ""the wandering Jew""; ""The cattle roam across the prairie""; ""the laborers drift from one town to the next""; ""They rolled from town to town"""
"roar","motion","act or proceed in a riotous, turbulent, or disorderly way","6"," ""desperadoes from the hills regularly roared in to take over the town""-R.A.Billington"
"roar_off","motion","leave","2"," ""The car roared off into the fog"""
"rock","motion","move back and forth or sideways","2"," ""the ship was rocking""; ""the tall building swayed""; ""She rocked back and forth on her feet"""
"rocket","motion","shoot up abruptly, like a rocket","1"," ""prices skyrocketed"""
"roil","motion","be agitated","1"," ""the sea was churning in the storm"""
"roll","motion","move by turning over or rotating","10"," ""The child rolled down the hill""; ""turn over on your left side"""
"roll_down","motion","gather into a huge mass and roll down a mountain, of snow","1","gather into a huge mass and roll down a mountain, of snow"
"roll_over","motion","make a rolling motion or turn","2"," ""The dog rolled over"""
"roll_up","motion","arrive in a vehicle: ""He rolled up in a black Mercedes""","2","arrive in a vehicle: ""He rolled up in a black Mercedes"""
"roller_skate","motion","travel on shoes with steel or rubber rollers attached to their soles","1"," ""In some fashionable restaurants, the waiters roller skate around"""
"Rollerblade","motion","travel on shoes with a single line of rubber wheels attached to their soles","1"," ""you'd better wear a helmet and knee protectors when you Rollerblade!""; ""The muscular actor loves to Rollerblade"""
"rollick","motion","play boisterously","1"," ""The children frolicked in the garden""; ""the gamboling lambs in the meadows""; ""The toddlers romped in the playroom"""
"romp","motion","play boisterously","2"," ""The children frolicked in the garden""; ""the gamboling lambs in the meadows""; ""The toddlers romped in the playroom"""
"rope_down","motion","lower oneself with a rope coiled around the body from a mountainside","1"," ""The ascent was easy--roping down the mountain would be much more difficult and dangerous""; ""You have to learn how to abseil when you want to do technical climbing"""
"rotate","motion","turn on or around an axis or a center","4"," ""The Earth revolves around the Sun""; ""The lamb roast rotates on a spit over the fire"""
"round","motion","wind around","3"," move along a circular course; ""round the bend"""
"rouse","motion","become active","2"," ""He finally bestirred himself"""
"rout_out","motion","force or drive out","3"," ""The police routed them out of bed at 2 A.M."""
"route","motion","send documents or materials to appropriate destinations","1","send documents or materials to appropriate destinations"
"rove","motion","move about aimlessly or without any destination, often in search of food or employment","2"," ""The gypsies roamed the woods""; ""roving vagabonds""; ""the wandering Jew""; ""The cattle roam across the prairie""; ""the laborers drift from one town to the next""; ""They rolled from town to town"""
"row","motion","propel with oars","2"," ""row the boat across the lake"""
"ruffle","motion","stir up (water) so as to form ripples","3","stir up (water) so as to form ripples"
"rumba","motion","dance the rhumba","1","dance the rhumba"
"run","motion","move fast by using one's feet, with one foot off the ground at any given time","30"," ""Don't run--you'll be out of breath""; ""The children ran to the store"""
"run_across","motion","come together","2"," ""I'll probably see you at the meeting""; ""How nice to see you again!"""
"run_aground","motion","bring to the ground","1"," ""the storm grounded the ship"""
"run_around","motion","play boisterously","2"," ""The children frolicked in the garden""; ""the gamboling lambs in the meadows""; ""The toddlers romped in the playroom"""
"run_away","motion","flee","3"," take to one's heels; cut and run; ""If you see this man, run!""; ""The burglars escaped before the police showed up"""
"run_bases","motion","run around the bases, in baseball","2","run around the bases, in baseball"
"run_by","motion","pass by while running","2"," ""We watched children were running by"""
"run_down","motion","move downward","6"," ""The water ran down"""
"run_into","motion","come together","4"," ""I'll probably see you at the meeting""; ""How nice to see you again!"""
"run_off","motion","run away","4"," usually includes taking something or somebody along; ""The thief made off with our silver""; ""the accountant absconded with the cash from the safe"""
"run_out","motion","flow off gradually","5"," ""The rain water drains into this big vat"""
"run_over","motion","flow or run over (a limit or brim)","3","flow or run over (a limit or brim)"
"rush","motion","move fast","5"," ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"rush_along","motion","move fast","1"," ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"rush_away","motion","depart in a hurry","1","depart in a hurry"
"rush_off","motion","depart in a hurry","2","depart in a hurry"
"rush_out","motion","jump out from a hiding place and surprise (someone)","2"," ""The attackers leapt out from the bushes"""
"safeguard","motion","escort safely","2","escort safely"
"sag","motion","droop, sink, or settle from or as if from pressure or loss of tautness","3","droop, sink, or settle from or as if from pressure or loss of tautness"
"sag_down","motion","cause to sag","2"," ""The children sagged their bottoms down even more comfortably"""
"sail","motion","traverse or travel on (a body of water)","4"," ""We sailed the Atlantic""; ""He sailed the Pacific all alone"""
"sailplane","motion","fly a plane without an engine","1","fly a plane without an engine"
"sally_forth","motion","set out in a sudden, energetic or violent manner","1","set out in a sudden, energetic or violent manner"
"sally_out","motion","set out in a sudden, energetic or violent manner","1","set out in a sudden, energetic or violent manner"
"saltate","motion","move by saltation","1"," ""The sand grains are saltated by the wind"""
"samba","motion","dance the samba","1","dance the samba"
"sashay","motion","move sideways","2","move sideways"
"saunter","motion","walk leisurely and with no apparent aim","1","walk leisurely and with no apparent aim"
"scale","motion","reach the highest point of","3"," ""We scaled the Mont Blanc"""
"scamper","motion","to move about or proceed hurriedly","2"," ""so terrified by the extraordinary ebbing of the sea that they scurried to higher ground"""
"scan","motion","move a light beam over","4"," in electronics, to reproduce an image"
"scarper","motion","flee","1"," take to one's heels; cut and run; ""If you see this man, run!""; ""The burglars escaped before the police showed up"""
"scat","motion","flee","1"," take to one's heels; cut and run; ""If you see this man, run!""; ""The burglars escaped before the police showed up"""
"scatter","motion","to cause to separate and go in different directions","6"," ""She waved her hand and scattered the crowds"""
"scend","motion","rise or heave upward under the influence of a natural force such as a wave","1"," ""the boats surged"""
"school","motion","swim in or form a large group of fish","2"," ""A cluster of schooling fish was attracted to the bait"""
"schuss","motion","ski downhill","1","ski downhill"
"scoot","motion","run or move very quickly or hastily","2"," ""She dashed into the yard"""
"scram","motion","leave immediately","1"," used usually in the imperative form; ""Scram!"""
"scramble","motion","to move hurriedly","3"," ""The friend scrambled after them"""
"scrape","motion","bend the knees and bow in a servile manner","4","bend the knees and bow in a servile manner"
"scud","motion","run or move very quickly or hastily","2"," ""She dashed into the yard"""
"scuff","motion","walk without lifting the feet","2","walk without lifting the feet"
"scuffle","motion","walk by dragging one's feet","1"," ""he shuffled out of the room""; ""We heard his feet shuffling down the hall"""
"scull","motion","propel with sculls","1"," ""scull the boat"""
"scurry","motion","to move about or proceed hurriedly","2"," ""so terrified by the extraordinary ebbing of the sea that they scurried to higher ground"""
"scuttle","motion","to move about or proceed hurriedly","2"," ""so terrified by the extraordinary ebbing of the sea that they scurried to higher ground"""
"seaplane","motion","glide on the water in a hydroplane","1","glide on the water in a hydroplane"
"sediment","motion","deposit as a sediment","1","deposit as a sediment"
"see","motion","come together","19"," ""I'll probably see you at the meeting""; ""How nice to see you again!"""
"seek","motion","go to or towards","4"," ""a liquid seeks its own level"""
"seep","motion","pass gradually or leak through or as if through small openings","2","pass gradually or leak through or as if through small openings"
"seesaw","motion","ride on a plank","1","ride on a plank"
"send","motion","cause to go somewhere","9"," ""The explosion sent the car flying in the air""; ""She sent her children to camp""; ""He directed all his energies into his dissertation"""
"send_around","motion","forward to others","1"," ""he is sending around an appeal for funds"""
"send_off","motion","send away towards a designated goal","1","send away towards a designated goal"
"send_on","motion","send or ship onward from an intermediate post or station in transit","2"," ""forward my mail"""
"separate","motion","make a division or separation","11","make a division or separation"
"set","motion","disappear beyond the horizon","15"," ""the sun sets early these days"""
"set_ahead","motion","move forward","1"," ""we have to advance clocks and watches when we travel eastward"""
"set_ashore","motion","arrive on shore","1"," ""The ship landed in Pearl Harbor"""
"set_down","motion","reach or come to rest","5"," ""The bird landed on the highest branch""; ""The plane landed in Istanbul"""
"set_forth","motion","leave","2"," ""The family took off for Florida"""
"set_off","motion","leave","7"," ""The family took off for Florida"""
"set_out","motion","leave","4"," ""The family took off for Florida"""
"settle","motion","settle into a position, usually on a surface or ground","14"," ""dust settled on the roofs"""
"settle_down","motion","settle into a position, usually on a surface or ground","4"," ""dust settled on the roofs"""
"shack","motion","move, proceed, or walk draggingly or slowly","1"," ""John trailed behind his class mates""; ""The Mercedes trailed behind the horse cart"""
"shadow","motion","follow, usually without the person's knowledge","2"," ""The police are shadowing her"""
"shag","motion","dance the shag","1","dance the shag"
"shake","motion","move or cause to move back and forth","9"," ""The chemist shook the flask vigorously""; ""My hands were shaking"""
"shake_off","motion","get rid of","3"," ""I couldn't shake the car that was following me"""
"shake_up","motion","shock physically","2"," ""Georgia was shaken up in the Tech game"""
"shamble","motion","walk by dragging one's feet","2"," ""he shuffled out of the room""; ""We heard his feet shuffling down the hall"""
"sheer","motion","turn sharply","2"," change direction abruptly; ""The car cut to the left at the intersection""; ""The motorbike veered to the right"""
"shift","motion","change place or direction","8"," ""Shift one's position"""
"shimmy","motion","tremble or shake","3"," ""His voice wobbled with restrained emotion"""
"shin","motion","climb awkwardly, as if by scrambling","1","climb awkwardly, as if by scrambling"
"shinny","motion","climb awkwardly, as if by scrambling","1","climb awkwardly, as if by scrambling"
"ship","motion","transport commercially","2","transport commercially"
"shiver","motion","tremble convulsively, as from fear or excitement","3","tremble convulsively, as from fear or excitement"
"shlep","motion","walk or tramp about","1","walk or tramp about"
"shoo","motion","drive away by crying `shoo!'","1","drive away by crying `shoo!'"
"shoo_away","motion","drive away by crying `shoo!'","2","drive away by crying `shoo!'"
"shoo_off","motion","drive away by crying `shoo!'","1","drive away by crying `shoo!'"
"shoot","motion","send forth suddenly, intensely, swiftly","10"," ""shoot a glance"""
"shoot_down","motion","move quickly and violently","3"," ""The car tore down the street""; ""He came charging into my office"""
"shore","motion","arrive on shore","1"," ""The ship landed in Pearl Harbor"""
"shoulder_in","motion","push one's way in with one's shoulders","2","push one's way in with one's shoulders"
"shove","motion","come into rough contact with while moving","3"," ""The passengers jostled each other in the overcrowded train"""
"shove_along","motion","leave","2"," informal or rude; ""shove off!""; ""The children shoved along""; ""Blow now!"""
"shove_off","motion","leave","1"," informal or rude; ""shove off!""; ""The children shoved along""; ""Blow now!"""
"show","motion","take (someone) to their seats, as in theaters or auditoriums","12"," ""The usher showed us to our seats"""
"shrink","motion","draw back, as with fear or pain","5"," ""she flinched when they showed the slaughtering of the calf"""
"shrink_back","motion","pull away from a source of disgust or fear","2","pull away from a source of disgust or fear"
"shudder","motion","tremble convulsively, as from fear or excitement","3","tremble convulsively, as from fear or excitement"
"shuffle","motion","walk by dragging one's feet","3"," ""he shuffled out of the room""; ""We heard his feet shuffling down the hall"""
"shunt","motion","transfer to another track, of trains","2","transfer to another track, of trains"
"shut_off","motion","isolate or separate","2"," ""She was shut off from the friends"""
"shuttle","motion","travel back and forth between two points","2","travel back and forth between two points"
"shy","motion","start suddenly, as from fright","2","start suddenly, as from fright"
"side-slip","motion","slide sideways through the air in a downward direction in an airplane along an inclined lateral axis","1","slide sideways through the air in a downward direction in an airplane along an inclined lateral axis"
"sidetrack","motion","wander from a direct or straight course","1","wander from a direct or straight course"
"sidle","motion","move unobtrusively or furtively","3"," ""The young man began to sidle near the pretty girl sitting on the log"""
"sift","motion","move as if through a sieve","3"," ""The soldiers sifted through the woods"""
"sightsee","motion","visit famous or interesting sights","1","visit famous or interesting sights"
"single-foot","motion","go at a rack","2"," ""the horses single-footed"""
"singsong","motion","move as if accompanied by a singsong","2"," ""The porters singsonged the travellers' luggage up the mountain"""
"sink","motion","fall or descend to a lower place or level","10"," ""He sank to his knees"""
"siphon","motion","convey, draw off, or empty by or as if by a siphon","1","convey, draw off, or empty by or as if by a siphon"
"siphon_off","motion","convey, draw off, or empty by or as if by a siphon","1","convey, draw off, or empty by or as if by a siphon"
"sit","motion","take a seat","7","take a seat"
"sit_down","motion","take a seat","4","take a seat"
"sit_up","motion","change to an upright sitting position","3"," ""He sat up in bed"""
"skank","motion","dance the skank","1","dance the skank"
"skate","motion","move along on skates","1"," ""The Dutch often skate along the canals in winter"""
"skateboard","motion","ride on a flat board with rollers attached to the bottom","1","ride on a flat board with rollers attached to the bottom"
"skedaddle","motion","run away, as if in a panic","2","run away, as if in a panic"
"ski","motion","move along on skis","1"," ""We love to ski the Rockies""; ""My children don't ski"""
"ski_jump","motion","jump on skis","1","jump on skis"
"skid","motion","slide without control","2"," ""the car skidded in the curve on the wet road"""
"skim","motion","travel on the surface of water","3","travel on the surface of water"
"skin","motion","climb awkwardly, as if by scrambling","1","climb awkwardly, as if by scrambling"
"skin-dive","motion","swim underwater with no breathing apparatus other than a snorkel","1","swim underwater with no breathing apparatus other than a snorkel"
"skinny-dip","motion","bathe in the nude","1"," ""The young people were skinny-dipping in the pond"""
"skip","motion","jump lightly","4","jump lightly"
"skirt","motion","pass around or about","3"," move along the border; ""The boat skirted the coast"""
"skitter","motion","to move about or proceed hurriedly","1"," ""so terrified by the extraordinary ebbing of the sea that they scurried to higher ground"""
"skulk","motion","move stealthily","2"," ""The lonely man skulks down the main street all day"""
"sky_dive","motion","jump from an airplane and perform various maneuvers before opening one's parachute","1","jump from an airplane and perform various maneuvers before opening one's parachute"
"skydive","motion","jump from an airplane and perform various maneuvers before opening one's parachute","1","jump from an airplane and perform various maneuvers before opening one's parachute"
"skylark","motion","play boisterously","2"," ""The children frolicked in the garden""; ""the gamboling lambs in the meadows""; ""The toddlers romped in the playroom"""
"skyrocket","motion","shoot up abruptly, like a rocket","1"," ""prices skyrocketed"""
"slalom","motion","race on skis around obstacles","1","race on skis around obstacles"
"slam","motion","dance the slam dance","3","dance the slam dance"
"slam_dance","motion","dance the slam dance","1","dance the slam dance"
"slant","motion","to incline or bend from a vertical position","3"," ""She leaned over the banister"""
"slash","motion","move or stir about violently","5"," ""The feverish patient thrashed around in his bed"""
"sled","motion","ride (on) a sled","1","ride (on) a sled"
"sledge","motion","transport in a sleigh","1","transport in a sleigh"
"sleep_around","motion","be sexually active with more than one partner","1"," ""His wife bed hops"""
"sleepwalk","motion","walk in one's sleep","1","walk in one's sleep"
"sleigh","motion","ride (on) a sled","1","ride (on) a sled"
"slew","motion","turn sharply","1"," change direction abruptly; ""The car cut to the left at the intersection""; ""The motorbike veered to the right"""
"slice_into","motion","move through a body or an object with a slicing motion","1"," ""His hand sliced through the air"""
"slice_through","motion","move through a body or an object with a slicing motion","1"," ""His hand sliced through the air"""
"slide","motion","move obliquely or sideways, usually in an uncontrolled manner","4"," ""the wheels skidded against the sidewalk"""
"slide_by","motion","pass by","1"," ""three years elapsed"""
"slide_down","motion","fall or sink heavily","1"," ""He slumped onto the couch""; ""My spirits sank"""
"sling","motion","hang loosely or freely","2"," let swing"
"slink","motion","walk stealthily","2"," ""I saw a cougar slinking toward its prey"""
"slip","motion","move stealthily","7"," ""The ship slipped away in the darkness"""
"slip_away","motion","leave furtively and stealthily","3"," ""The lecture was boring and many students slipped out when the instructor turned towards the blackboard"""
"slip_by","motion","pass by","1"," ""three years elapsed"""
"slither","motion","to pass or move unobtrusively or smoothly","1"," ""They slid through the wicket in the big gate"""
"slog","motion","walk heavily and firmly, as when weary, or through mud","1"," ""Mules plodded in a circle around a grindstone"""
"slop","motion","walk through mud or mire","3"," ""We had to splosh across the wet meadow"""
"slope","motion","be at an angle","1"," ""The terrain sloped down"""
"slosh","motion","walk through mud or mire","1"," ""We had to splosh across the wet meadow"""
"slouch","motion","assume a drooping posture or carriage","1","assume a drooping posture or carriage"
"slue","motion","turn sharply","1"," change direction abruptly; ""The car cut to the left at the intersection""; ""The motorbike veered to the right"""
"sluice","motion","transport in or send down a sluice","3"," ""sluice logs"""
"slump","motion","assume a drooping posture or carriage","4","assume a drooping posture or carriage"
"smash","motion","hit violently","3"," ""She smashed her car against the guard rail"""
"smoke_out","motion","drive out with smoke","1"," ""smoke out the bees"""
"snake","motion","move smoothly and sinuously, like a snake","2","move smoothly and sinuously, like a snake"
"snap","motion","move or strike with a noise","11"," ""he clicked on the light""; ""his arm was snapped forward"""
"sneak","motion","to go stealthily or furtively","3"," ""..stead of sneaking around spying on the neighbor's house"""
"sneak_away","motion","leave furtively and stealthily","1"," ""The lecture was boring and many students slipped out when the instructor turned towards the blackboard"""
"sneak_off","motion","leave furtively and stealthily","2"," ""The lecture was boring and many students slipped out when the instructor turned towards the blackboard"""
"sneak_out","motion","leave furtively and stealthily","2"," ""The lecture was boring and many students slipped out when the instructor turned towards the blackboard"""
"sneak_up","motion","advance stealthily or unnoticed","2"," ""Age creeps up on you"""
"snorkel","motion","dive with a snorkel","1","dive with a snorkel"
"snowboard","motion","glide down a snow-covered slope while standing on a board","1"," ""The children love to snowboard in winter"""
"snowmobile","motion","ride a snowmobile","1","ride a snowmobile"
"snowshoe","motion","travel on snowshoes","1"," ""After a heavy snowfall, we have to snowshoe to the grocery store"""
"soar","motion","rise rapidly","5"," ""the dollar soared against the yen"""
"soar_up","motion","rise rapidly","1"," ""the dollar soared against the yen"""
"soar_upwards","motion","rise rapidly","1"," ""the dollar soared against the yen"""
"solo","motion","fly alone, without a co-pilot or passengers","1","fly alone, without a co-pilot or passengers"
"somersault","motion","do a somersault","1","do a somersault"
"somnambulate","motion","walk in one's sleep","1","walk in one's sleep"
"space","motion","place at intervals","2"," ""Space the interviews so that you have some time between the different candidates"""
"spacewalk","motion","move in space outside a space craft","1","move in space outside a space craft"
"sparge","motion","agitate by introducing air or compressed gas","1"," ""sparge the water"""
"speed","motion","move fast","6"," ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"speed_skate","motion","race on skates","1","race on skates"
"spill","motion","flow, run or fall out and become lost","4"," ""The milk spilled across the floor""; ""The wine spilled onto the table"""
"spill_out","motion","be disgorged","2"," ""The crowds spilled out into the streets"""
"spill_over","motion","be disgorged","2"," ""The crowds spilled out into the streets"""
"spin","motion","revolve quickly and repeatedly around one's own axis","3"," ""The dervishes whirl around and around without getting dizzy"""
"spin_around","motion","revolve quickly and repeatedly around one's own axis","2"," ""The dervishes whirl around and around without getting dizzy"""
"spiral","motion","to wind or move in a spiral course","2"," ""the muscles and nerves of his fine drawn body were coiling for action""; ""black smoke coiling up into the sky""; ""the young people gyrated on the dance floor"""
"spirt","motion","gush forth in a sudden stream or jet","1"," ""water gushed forth"""
"splash","motion","walk through mud or mire","5"," ""We had to splosh across the wet meadow"""
"splay","motion","spread open or apart","1"," ""He splayed his huge hands over the table"""
"split","motion","go one's own way","6"," move apart; ""The friends separated after the party"""
"splosh","motion","walk through mud or mire","1"," ""We had to splosh across the wet meadow"""
"sport","motion","play boisterously","2"," ""The children frolicked in the garden""; ""the gamboling lambs in the meadows""; ""The toddlers romped in the playroom"""
"spout","motion","gush forth in a sudden stream or jet","3"," ""water gushed forth"""
"sprawl","motion","go, come, or spread in a rambling or irregular way","3"," ""Branches straggling out quite far"""
"spread","motion","strew or distribute over an area","9"," ""He spread fertilizer over the lawn""; ""scatter cards across the table"""
"spread-eagle","motion","execute a spread eagle on skates, with arms and legs stretched out","2","execute a spread eagle on skates, with arms and legs stretched out"
"spread_out","motion","move outward","3"," ""The soldiers fanned out"""
"spring","motion","move forward by leaps and bounds","5"," ""The horse bounded across the meadow""; ""The child leapt across the puddle""; ""Can you jump over the fence?"""
"sprint","motion","run very fast, usually for a short distance","2","run very fast, usually for a short distance"
"spurt","motion","gush forth in a sudden stream or jet","1"," ""water gushed forth"""
"sputter","motion","climb awkwardly, as if by scrambling","3","climb awkwardly, as if by scrambling"
"square","motion","position so as to be square","5"," ""He squared his shoulders"""
"square_dance","motion","dance in formation","1","dance in formation"
"square_up","motion","even up the edges of a stack of paper, in printing","2","even up the edges of a stack of paper, in printing"
"squeeze","motion","press or force","4"," ""Stuff money into an envelope""; ""She thrust the letter into his hand"""
"squelch","motion","walk through mud or mire","2"," ""We had to splosh across the wet meadow"""
"squinch","motion","crouch down","1","crouch down"
"squire","motion","attend upon as a squire","1"," serve as a squire"
"squirm","motion","to move in a twisting or contorted motion, (especially when struggling)","2"," ""The prisoner writhed in discomfort""; ""The child tried to wriggle free from his aunt's embrace"""
"squish","motion","walk through mud or mire","1"," ""We had to splosh across the wet meadow"""
"stagger","motion","walk as if unable to control one's movements","4"," ""The drunken man staggered into the room"""
"stalk","motion","walk stiffly","3","walk stiffly"
"stall","motion","come to a stop","4"," ""The car stalled in the driveway"""
"stamp","motion","walk heavily","7"," ""The men stomped through the snow in their heavy boots"""
"stampede","motion","cause to run in panic","2"," ""Thunderbolts can stampede animals"""
"stand_out","motion","steer away from shore, of ships","4","steer away from shore, of ships"
"stand_still","motion","remain in place","2"," hold still; remain fixed or immobile; ""Traffic stood still when the funeral procession passed by"""
"stand_up","motion","rise to one's feet","6"," ""The audience got up and applauded"""
"starboard","motion","turn to the right, of helms or rudders","1","turn to the right, of helms or rudders"
"start","motion","leave","12"," ""The family took off for Florida"""
"start_out","motion","leave","3"," ""The family took off for Florida"""
"start_up","motion","get going or set in motion","2"," ""We simply could not start the engine""; ""start up the computer"""
"startle","motion","move or jump suddenly, as if in surprise or alarm","2"," ""She startled when I walked into the room"""
"stay","motion","stay put (in a certain place)","7"," ""We are staying in Detroit; we are not moving to Cincinnati""; ""Stay put in the corner here!""; ""Stick around and you will learn something!"""
"stay_in_place","motion","be stationary","2","be stationary"
"stay_put","motion","stay put (in a certain place)","2"," ""We are staying in Detroit; we are not moving to Cincinnati""; ""Stay put in the corner here!""; ""Stick around and you will learn something!"""
"steal","motion","move stealthily","4"," ""The ship slipped away in the darkness"""
"steal_away","motion","leave furtively and stealthily","2"," ""The lecture was boring and many students slipped out when the instructor turned towards the blackboard"""
"steam","motion","travel by means of steam power","3"," ""The ship steamed off into the Pacific"""
"steamer","motion","travel by means of steam power","1"," ""The ship steamed off into the Pacific"""
"steer","motion","direct the course","4"," determine the direction of travelling"
"step","motion","shift or move by taking a step","3"," ""step back"""
"step_forward","motion","make oneself visible","2"," take action; ""Young people should step to the fore and help their peers"""
"step_on","motion","place or press the foot on","2"," ""He stepped on the hem of her long gown"""
"step_on_it","motion","move fast","1"," ""He rushed down the hall to receive his guests""; ""The cars raced down the street"""
"step_out","motion","go outside a room or building for a short period of time","2","go outside a room or building for a short period of time"
"step_to_the_fore","motion","make oneself visible","2"," take action; ""Young people should step to the fore and help their peers"""
"step_up","motion","make oneself visible","3"," take action; ""Young people should step to the fore and help their peers"""
"stick","motion","stay put (in a certain place)","4"," ""We are staying in Detroit; we are not moving to Cincinnati""; ""Stay put in the corner here!""; ""Stick around and you will learn something!"""
"stick_around","motion","stay put (in a certain place)","1"," ""We are staying in Detroit; we are not moving to Cincinnati""; ""Stay put in the corner here!""; ""Stick around and you will learn something!"""
"stir","motion","move an implement through","7"," ""stir the soup""; ""stir my drink""; ""stir the soil"""
