"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"Bill_Mauldin","person","United States cartoonist noted for his drawings of soldiers in battle (1921-2003)","1","United States cartoonist noted for his drawings of soldiers in battle (1921-2003)"
"bill_poster","person","someone who pastes up bills or placards on walls or billboards","1","someone who pastes up bills or placards on walls or billboards"
"Bill_Russell","person","United States basketball center (born in 1934)","1","United States basketball center (born in 1934)"
"bill_sticker","person","someone who pastes up bills or placards on walls or billboards","1","someone who pastes up bills or placards on walls or billboards"
"billiard_player","person","someone who plays billiards","1","someone who plays billiards"
"Billie_Jean_King","person","United States woman tennis player (born in 1943)","1","United States woman tennis player (born in 1943)"
"Billie_Jean_Moffitt_King","person","United States woman tennis player (born in 1943)","1","United States woman tennis player (born in 1943)"
"Billie_the_Kid","person","United States outlaw who was said to have killed 21 men (1859-1881)","1","United States outlaw who was said to have killed 21 men (1859-1881)"
"billionaire","person","a very rich person whose material wealth is valued at more than a billion dollars","1","a very rich person whose material wealth is valued at more than a billion dollars"
"Billy_Graham","person","United States evangelical preacher famous as a mass evangelist (born in 1918)","1","United States evangelical preacher famous as a mass evangelist (born in 1918)"
"Billy_Mitchell","person","United States aviator and general who was an early advocate of military air power (1879-1936)","1","United States aviator and general who was an early advocate of military air power (1879-1936)"
"Billy_Sunday","person","United States evangelist (1862-1935)","1","United States evangelist (1862-1935)"
"Billy_Wilder","person","United States filmmaker (born in Austria) whose dark humor infused many of the films he made (1906-2002)","1","United States filmmaker (born in Austria) whose dark humor infused many of the films he made (1906-2002)"
"Biloxi","person","a member of the Siouan people of southeastern Mississippi","1","a member of the Siouan people of southeastern Mississippi"
"bimbo","person","a young woman indulged by rich and powerful older men","1","a young woman indulged by rich and powerful older men"
"bimetallist","person","an advocate of bimetallism","1","an advocate of bimetallism"
"bin_Laden","person","Arab terrorist who established al-Qaeda (born in 1957)","1","Arab terrorist who established al-Qaeda (born in 1957)"
"Binet","person","French psychologist remembered for his studies of the intellectual development of children (1857-1911)","1","French psychologist remembered for his studies of the intellectual development of children (1857-1911)"
"Bing_Crosby","person","United States singer and film actor (1904-1977)","1","United States singer and film actor (1904-1977)"
"binger","person","someone addicted to crack cocaine","1","someone addicted to crack cocaine"
"biochemist","person","someone with special training in biochemistry","1","someone with special training in biochemistry"
"biographer","person","someone who writes an account of a person's life","1","someone who writes an account of a person's life"
"biologist","person","(biology) a scientist who studies living organisms","2","(biology) a scientist who studies living organisms"
"bionic_man","person","a human being whose body has been taken over in whole or in part by electromechanical devices","1"," ""a cyborg is a cybernetic organism"""
"bionic_woman","person","a human being whose body has been taken over in whole or in part by electromechanical devices","1"," ""a cyborg is a cybernetic organism"""
"biophysicist","person","a physicist who applies the methods of physics to biology","2","a physicist who applies the methods of physics to biology"
"bird","person","informal terms for a (young) woman","3","informal terms for a (young) woman"
"bird_fancier","person","a person with a strong interest in birds","1","a person with a strong interest in birds"
"bird_of_passage","person","someone who leads a wandering unsettled life","1","someone who leads a wandering unsettled life"
"Bird_Parker","person","United States saxophonist and leader of the bop style of jazz (1920-1955)","1","United States saxophonist and leader of the bop style of jazz (1920-1955)"
"bird_watcher","person","a zoologist who studies birds","1","a zoologist who studies birds"
"birdbrain","person","a person with confused ideas","1"," incapable of serious thought"
"birder","person","a person who identifies and studies birds in their natural habitats","1","a person who identifies and studies birds in their natural habitats"
"birth","person","a baby born","4"," an offspring; ""the overall rate of incidence of Down's syndrome is one in every 800 births"""
"birth-control_campaigner","person","a social reformer who advocates birth control and family planning","1","a social reformer who advocates birth control and family planning"
"birth-control_reformer","person","a social reformer who advocates birth control and family planning","1","a social reformer who advocates birth control and family planning"
"birthing_coach","person","an assistant (often the father of the soon-to-be-born child) who provides support for a woman in labor by encouraging her to use techniques learned in childbirth-preparation classes","1","an assistant (often the father of the soon-to-be-born child) who provides support for a woman in labor by encouraging her to use techniques learned in childbirth-preparation classes"
"Bisayan","person","a member of the most numerous indigenous people of the Philippines","1","a member of the most numerous indigenous people of the Philippines"
"bisexual","person","a person who is sexually attracted to both sexes","1","a person who is sexually attracted to both sexes"
"bisexual_person","person","a person who is sexually attracted to both sexes","1","a person who is sexually attracted to both sexes"
"bishop","person","a senior member of the Christian clergy having spiritual and administrative authority","2"," appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ"
"Bishop_Berkeley","person","Irish philosopher and Anglican bishop who opposed the materialism of Thomas Hobbes (1685-1753)","1","Irish philosopher and Anglican bishop who opposed the materialism of Thomas Hobbes (1685-1753)"
"Bishop_of_Rome","person","the head of the Roman Catholic Church","1","the head of the Roman Catholic Church"
"Bishop_Ulfila","person","a Christian believed to be of Cappadocian descent who became bishop of the Visigoths in 341 and translated the Bible from Greek into Gothic","1"," traditionally held to have invented the Gothic alphabet (311-382)"
"Bishop_Ulfilas","person","a Christian believed to be of Cappadocian descent who became bishop of the Visigoths in 341 and translated the Bible from Greek into Gothic","1"," traditionally held to have invented the Gothic alphabet (311-382)"
"Bishop_Wulfila","person","a Christian believed to be of Cappadocian descent who became bishop of the Visigoths in 341 and translated the Bible from Greek into Gothic","1"," traditionally held to have invented the Gothic alphabet (311-382)"
"Bismarck","person","German statesman under whose leadership Germany was united (1815-1898)","1","German statesman under whose leadership Germany was united (1815-1898)"
"bitch","person","a person (usually but not necessarily a woman) who is thoroughly disliked","1"," ""she said her son thought Hillary was a bitch"""
"biter","person","someone who bites","2","someone who bites"
"Bizet","person","French composer best known for his operas (1838-1875)","1","French composer best known for his operas (1838-1875)"
"blabber","person","one who reveals confidential information in return for money","1","one who reveals confidential information in return for money"
"blabbermouth","person","someone who gossips indiscreetly","1","someone who gossips indiscreetly"
"Black","person","British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)","2","British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)"
"Black_African","person","an African who is Black","1","an African who is Black"
"Black_American","person","an American whose ancestors were born in Africa","1","an American whose ancestors were born in Africa"
"Black_and_Tan","person","an English recruit (who wore a uniform that was black and tan) serving in the Irish constabulary to suppress the Sinn Fein rebellion of 1919 to 1921","1","an English recruit (who wore a uniform that was black and tan) serving in the Irish constabulary to suppress the Sinn Fein rebellion of 1919 to 1921"
"black_belt","person","a person who attained the rank of expert in the martial arts (judo or karate)","1","a person who attained the rank of expert in the martial arts (judo or karate)"
"Black_Friar","person","a Roman Catholic friar wearing the black mantle of the Dominican order","1","a Roman Catholic friar wearing the black mantle of the Dominican order"
"Black_Hawk","person","Sauk leader who in 1832 led Fox and Sauk warriors against the United States (1767-1838)","1","Sauk leader who in 1832 led Fox and Sauk warriors against the United States (1767-1838)"
"Black_Jack_Pershing","person","United States general who commanded the American forces in Europe during World War I (1860-1948)","1","United States general who commanded the American forces in Europe during World War I (1860-1948)"
"Black_man","person","a man who is Black","2","a man who is Black"
"black_marketeer","person","someone who engages illegally in trade in scarce or controlled commodities","1","someone who engages illegally in trade in scarce or controlled commodities"
"Black_Muslim","person","an activist member of a largely American group of Blacks called the Nation of Islam","1","an activist member of a largely American group of Blacks called the Nation of Islam"
"Black_Panther","person","a member of the Black Panthers political party","1","a member of the Black Panthers political party"
"Black_person","person","a person with dark skin who comes from Africa (or whose ancestors came from Africa)","1","a person with dark skin who comes from Africa (or whose ancestors came from Africa)"
"Black_Prince","person","son of Edward III who defeated the French at Crecy and Poitiers in the Hundred Years' War (1330-1376)","1","son of Edward III who defeated the French at Crecy and Poitiers in the Hundred Years' War (1330-1376)"
"Black_race","person","a dark-skinned race","1","a dark-skinned race"
"black_sheep","person","a reckless and unprincipled reprobate","1","a reckless and unprincipled reprobate"
"Black_woman","person","a woman who is Black","1","a woman who is Black"
"blackamoor","person","a person with dark skin who comes from Africa (or whose ancestors came from Africa)","1","a person with dark skin who comes from Africa (or whose ancestors came from Africa)"
"Blackbeard","person","an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)","1","an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)"
"Blackfoot","person","a member of a warlike group of Algonquians living in the northwestern plains","1","a member of a warlike group of Algonquians living in the northwestern plains"
"Blackfriar","person","a Roman Catholic friar wearing the black mantle of the Dominican order","1","a Roman Catholic friar wearing the black mantle of the Dominican order"
"blackguard","person","someone who is morally reprehensible","1"," ""you dirty dog"""
"blackleg","person","someone who works (or provides workers) during a strike","1","someone who works (or provides workers) during a strike"
"blackmailer","person","a criminal who extorts money from someone by threatening to expose embarrassing information about them","2","a criminal who extorts money from someone by threatening to expose embarrassing information about them"
"Blackshirt","person","a member of the Italian fascist party before World War II","1","a member of the Italian fascist party before World War II"
"blacksmith","person","a smith who forges and shapes iron with a hammer and anvil","2","a smith who forges and shapes iron with a hammer and anvil"
"blade","person","a dashing young man","5"," ""gay young blades bragged of their amorous adventures"""
"Blair","person","British statesman who became prime minister in 1997 (born in 1953)","1","British statesman who became prime minister in 1997 (born in 1953)"
"Blaise_Pascal","person","French mathematician and philosopher and Jansenist","1"," invented an adding machine; contributed (with Fermat) to the theory of probability (1623-1662)"
"Blake","person","visionary British poet and painter (1757-1827)","1","visionary British poet and painter (1757-1827)"
"blasphemer","person","a person who speaks disrespectfully of sacred things","1","a person who speaks disrespectfully of sacred things"
"blaster","person","a workman employed to blast with explosives","1","a workman employed to blast with explosives"
"bleacher","person","a worker who bleaches (cloth or flour etc.)","1","a worker who bleaches (cloth or flour etc.)"
"bleeder","person","someone who has hemophilia and is subject to uncontrollable bleeding","1","someone who has hemophilia and is subject to uncontrollable bleeding"
"bleeding_heart","person","someone who is excessively sympathetic toward those who claim to be exploited or underprivileged","1","someone who is excessively sympathetic toward those who claim to be exploited or underprivileged"
"Bleriot","person","French aviator who in 1909 made the first flight across the English Channel (1872-1936)","1","French aviator who in 1909 made the first flight across the English Channel (1872-1936)"
"Blessed_Trinity","person","the union of the Father and Son and Holy Ghost in one Godhead","1","the union of the Father and Son and Holy Ghost in one Godhead"
"Blessed_Virgin","person","the mother of Jesus","1"," Christians refer to her as the Virgin Mary; she is especially honored by Roman Catholics"
"Bligh","person","British admiral","1"," was captain of the H.M.S. Bounty in 1789 when part of the crew mutinied and set him afloat in an open boat; a few weeks later he arrived safely in Timor 4,000 miles away (1754-1817)"
"blighter","person","a persistently annoying person","1","a persistently annoying person"
"Blimp","person","any elderly pompous reactionary ultranationalistic person (after the cartoon character created by Sir David Low)","1","any elderly pompous reactionary ultranationalistic person (after the cartoon character created by Sir David Low)"
"blind_date","person","a participant in a blind date (someone you meet for the first time when you have a date with them)","1","a participant in a blind date (someone you meet for the first time when you have a date with them)"
"blind_person","person","a person with a severe visual impairment","1","a person with a severe visual impairment"
"Blitzstein","person","United States pianist and composer of operas and musical plays (1905-1964)","1","United States pianist and composer of operas and musical plays (1905-1964)"
"Blixen","person","Danish writer who lived in Kenya for 19 years and is remembered for her writings about Africa (1885-1962)","1","Danish writer who lived in Kenya for 19 years and is remembered for her writings about Africa (1885-1962)"
"Bloch","person","United States composer (born in Switzerland) who composed symphonies and chamber music and choral music and a piano sonata and an opera (1880-1959)","1","United States composer (born in Switzerland) who composed symphonies and chamber music and choral music and a piano sonata and an opera (1880-1959)"
"blocker","person","a football player whose responsibility is to block players attempting to stop an offensive play","1","a football player whose responsibility is to block players attempting to stop an offensive play"
"blockhead","person","a stupid person","1"," these words are used to express a low opinion of someone's intelligence"
"blogger","person","a person who keeps and updates a blog","1","a person who keeps and updates a blog"
"Blok","person","Russian poet (1880-1921)","1","Russian poet (1880-1921)"
"bloke","person","a boy or man","2"," ""that chap is your host""; ""there's a fellow at the door""; ""he's a likable cuss""; ""he's a good bloke"""
"blond","person","a person with fair skin and hair","1","a person with fair skin and hair"
"blonde","person","a person with fair skin and hair","2","a person with fair skin and hair"
"blood","person","a dissolute man in fashionable society","5","a dissolute man in fashionable society"
"blood_brother","person","a male with the same parents as someone else","1"," ""my brother still lives with our parents"""
"blood_donor","person","someone who gives blood to be used for transfusions","1","someone who gives blood to be used for transfusions"
"blood_relation","person","one related by blood or origin","1"," especially on sharing an ancestor with another"
"blood_relative","person","one related by blood or origin","2"," especially on sharing an ancestor with another"
"Bloody_Mary","person","daughter of Henry VIII and Catherine of Aragon who was Queen of England from 1553 to 1558","1"," she was the wife of Philip II of Spain and when she restored Roman Catholicism to England many Protestants were burned at the stake as heretics (1516-1558)"
"Bloomfield","person","United States linguist who adopted a behavioristic approach to linguistics (1887-1949)","1","United States linguist who adopted a behavioristic approach to linguistics (1887-1949)"
"blowhard","person","a very boastful and talkative person","1","a very boastful and talkative person"
"blubberer","person","someone who sniffles and weeps with loud sobs","1","someone who sniffles and weeps with loud sobs"
"Blucher","person","Prussian general who is remembered for his leadership in the wars against Napoleon (1742-1819)","1","Prussian general who is remembered for his leadership in the wars against Napoleon (1742-1819)"
"bludgeoner","person","an assailant who uses a bludgeon","1","an assailant who uses a bludgeon"
"blue_baby","person","an infant born with a bluish color","1"," usually has a defective heart"
"blue_blood","person","a member of the aristocracy","1","a member of the aristocracy"
"Bluebeard","person","(fairytale) a monstrous villain who marries seven women","1"," he kills the first six for disobedience"
"bluecoat","person","a person dressed all in blue (as a soldier or sailor)","1","a person dressed all in blue (as a soldier or sailor)"
"Bluegrass_Stater","person","a native or resident of Kentucky","1","a native or resident of Kentucky"
"bluejacket","person","a serviceman in the navy","1","a serviceman in the navy"
"bluenose","person","a native or inhabitant of Nova Scotia","1","a native or inhabitant of Nova Scotia"
"bluestocking","person","a woman having literary or intellectual interests","2","a woman having literary or intellectual interests"
"bluffer","person","a person who tries to bluff other people","1","a person who tries to bluff other people"
"blunderer","person","someone who makes mistakes because of incompetence","1","someone who makes mistakes because of incompetence"
"blusterer","person","a person who causes trouble by speaking indiscreetly","1","a person who causes trouble by speaking indiscreetly"
"bo's'n","person","a petty officer on a merchant ship who controls the work of other seamen","1","a petty officer on a merchant ship who controls the work of other seamen"
"bo'sun","person","a petty officer on a merchant ship who controls the work of other seamen","1","a petty officer on a merchant ship who controls the work of other seamen"
"Boann","person","Celtic goddess","1"," mother of Angus Og"
"board_member","person","a member of a governing board","1","a member of a governing board"
"boarder","person","a tenant in someone's house","1","a tenant in someone's house"
"boaster","person","a very boastful and talkative person","1","a very boastful and talkative person"
"boatbuilder","person","a person who builds boats","1","a person who builds boats"
"boater","person","someone who drives or rides in a boat","2","someone who drives or rides in a boat"
"boatman","person","someone who drives or rides in a boat","1","someone who drives or rides in a boat"
"boatswain","person","a petty officer on a merchant ship who controls the work of other seamen","2","a petty officer on a merchant ship who controls the work of other seamen"
"Bob_Dylan","person","United States songwriter noted for his protest songs (born in 1941)","1","United States songwriter noted for his protest songs (born in 1941)"
"Bob_Hope","person","United States comedian (born in England) who appeared in films with Bing Crosby (1903-2003)","1","United States comedian (born in England) who appeared in films with Bing Crosby (1903-2003)"
"Bob_Marley","person","Jamaican singer who popularized reggae (1945-1981)","1","Jamaican singer who popularized reggae (1945-1981)"
"Bob_Mathias","person","United States athlete who won Olympic gold medals in the decathlon (born in 1930)","1","United States athlete who won Olympic gold medals in the decathlon (born in 1930)"
"Bob_Woodward","person","United States chemist honored for synthesizing complex organic compounds (1917-1979)","1","United States chemist honored for synthesizing complex organic compounds (1917-1979)"
"bobby","person","an informal term for a British policeman","1","an informal term for a British policeman"
"bobby-socker","person","an adolescent girl wearing bobby socks (common in the 1940s)","1","an adolescent girl wearing bobby socks (common in the 1940s)"
"Bobby_Fischer","person","United States chess master","1"," world champion from 1972 to 1975 (born in 1943)"
"Bobby_Jones","person","United States golfer (1902-1971)","1","United States golfer (1902-1971)"
"Bobby_Orr","person","Canadian hockey player (born 1948)","1","Canadian hockey player (born 1948)"
"bobbysoxer","person","an adolescent girl wearing bobby socks (common in the 1940s)","2","an adolescent girl wearing bobby socks (common in the 1940s)"
"Boccaccio","person","Italian poet (born in France) (1313-1375)","1","Italian poet (born in France) (1313-1375)"
"Boche","person","offensive term for a person of German descent","1","offensive term for a person of German descent"
"Boddhisatva","person","Buddhist worthy of nirvana who postpones it to help others","1","Buddhist worthy of nirvana who postpones it to help others"
"Bodhisattva","person","Buddhist worthy of nirvana who postpones it to help others","1","Buddhist worthy of nirvana who postpones it to help others"
"Bodoni","person","Italian printer who designed the Bodoni font (1740-1813)","1","Italian printer who designed the Bodoni font (1740-1813)"
"body_servant","person","a valet or personal maid","2","a valet or personal maid"
"body_snatcher","person","someone who takes bodies from graves and sells them for anatomical dissection","1","someone who takes bodies from graves and sells them for anatomical dissection"
"bodybuilder","person","someone who does special exercises to develop a brawny musculature","2","someone who does special exercises to develop a brawny musculature"
"bodyguard","person","someone who escorts and protects a prominent person","2","someone who escorts and protects a prominent person"
"Boehm","person","German mystic and theosophist who founded modern theosophy","1"," influenced George Fox (1575-1624)"
"Boehme","person","German mystic and theosophist who founded modern theosophy","1"," influenced George Fox (1575-1624)"
"Boell","person","German novelist and writer of short stories (1917-1985)","1","German novelist and writer of short stories (1917-1985)"
"Boer","person","a white native of Cape Province who is a descendant of Dutch settlers and who speaks Afrikaans","1","a white native of Cape Province who is a descendant of Dutch settlers and who speaks Afrikaans"
"Boethius","person","a Roman who was an early Christian philosopher and statesman who was executed for treason","1"," Boethius had a decisive influence on medieval logic (circa 480-524)"
"boffin","person","(British slang) a scientist or technician engaged in military research","1","(British slang) a scientist or technician engaged in military research"
"Bogart","person","United States film actor (1899-1957)","1","United States film actor (1899-1957)"
"bogey","person","an evil spirit","2","an evil spirit"
"bogeyman","person","an imaginary monster used to frighten children","1","an imaginary monster used to frighten children"
"bogie","person","an evil spirit","1","an evil spirit"
"bogy","person","an evil spirit","2","an evil spirit"
"Bohemian","person","a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling","1"," they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)"
"Bohme","person","German mystic and theosophist who founded modern theosophy","1"," influenced George Fox (1575-1624)"
"Bohr","person","Danish physicist who studied atomic structure and radiations","1"," the Bohr theory of the atom accounted for the spectrum of hydrogen (1885-1962)"
"Boleyn","person","the second wife of Henry VIII and mother of Elizabeth I","1"," was executed on a charge of adultery (1507-1536)"
"Bolingbroke","person","the first Lancastrian king of England from 1399 to 1413","1"," deposed Richard II and suppressed rebellions (1367-1413)"
"Bolivar","person","Venezuelan statesman who led the revolt of South American colonies against Spanish rule","1"," founded Bolivia in 1825 (1783-1830)"
"Bolivian","person","a native or inhabitant of Bolivia","1","a native or inhabitant of Bolivia"
"Bolshevik","person","emotionally charged terms used to refer to extreme radicals or revolutionaries","2","emotionally charged terms used to refer to extreme radicals or revolutionaries"
"Bolshevist","person","a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party","1","a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party"
"bolshie","person","emotionally charged terms used to refer to extreme radicals or revolutionaries","1","emotionally charged terms used to refer to extreme radicals or revolutionaries"
"bolshy","person","emotionally charged terms used to refer to extreme radicals or revolutionaries","1","emotionally charged terms used to refer to extreme radicals or revolutionaries"
"Boltzmann","person","Austrian physicist who contributed to the kinetic theory of gases (1844-1906)","1","Austrian physicist who contributed to the kinetic theory of gases (1844-1906)"
"bombardier","person","a noncommissioned officer in the British artillery","1","a noncommissioned officer in the British artillery"
"bomber","person","a person who plants bombs","2","a person who plants bombs"
"Bomber_Harris","person","British marshal of the Royal Air Force","1"," during World War II he directed mass bombing raids against German cities that resulted in heavy civilian casualties (1892-1984)"
"bombshell","person","an entertainer who has a sensational effect","1"," ""she was a blonde bombshell"""
"bon_vivant","person","a person devoted to refined sensuous enjoyment (especially good food and drink)","1","a person devoted to refined sensuous enjoyment (especially good food and drink)"
"Bonaparte","person","French general who became emperor of the French (1769-1821)","1","French general who became emperor of the French (1769-1821)"
"Bond","person","United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)","7","United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)"
"bond_servant","person","someone bound to labor without wages","1","someone bound to labor without wages"
"bondholder","person","a holder of bonds issued by a government or corporation","1","a holder of bonds issued by a government or corporation"
"bondmaid","person","a female bound to serve without wages","1","a female bound to serve without wages"
"bondman","person","a male bound to serve without wages","1","a male bound to serve without wages"
"bondsman","person","a male slave","2","a male slave"
"bondswoman","person","someone who signs a bond as surety for someone else","1","someone who signs a bond as surety for someone else"
"bondwoman","person","a female bound to serve without wages","1","a female bound to serve without wages"
"bonehead","person","a stupid person","1"," these words are used to express a low opinion of someone's intelligence"
"bonesetter","person","someone (not necessarily a licensed physician) who sets broken bones","1","someone (not necessarily a licensed physician) who sets broken bones"
"Bonhoeffer","person","German Lutheran theologian and pastor whose works concern Christianity in the modern world","1"," an active opponent of Nazism, he was arrested and sent to Buchenwald and later executed (1906-1945)"
"Boniface","person","(Roman Catholic Church) Anglo-Saxon missionary who was sent to Frisia and Germany to spread the Christian faith","1"," was martyred in Frisia (680-754)"
"Boniface_VIII","person","pope who declared that Catholic princes are subject to the pope in temporal as well as in theological matters (1235-1303)","1","pope who declared that Catholic princes are subject to the pope in temporal as well as in theological matters (1235-1303)"
"Bonney","person","United States outlaw who was said to have killed 21 men (1859-1881)","1","United States outlaw who was said to have killed 21 men (1859-1881)"
"Bontemps","person","United States writer (1902-1973)","1","United States writer (1902-1973)"
"boob","person","an ignorant or foolish person","1","an ignorant or foolish person"
"booby","person","an ignorant or foolish person","2","an ignorant or foolish person"
"booger","person","an imaginary monster used to frighten children","1","an imaginary monster used to frighten children"
"boogeyman","person","an imaginary monster used to frighten children","1","an imaginary monster used to frighten children"
"book_agent","person","a book salesman","1","a book salesman"
"book_lover","person","someone who loves (and usually collects) books","1","someone who loves (and usually collects) books"
"book_seller","person","a dealer in books","1"," a merchant who sells books"
"bookbinder","person","a worker whose trade is binding books","1","a worker whose trade is binding books"
"bookdealer","person","a dealer in books","1"," a merchant who sells books"
"booker","person","someone who engages a person or company for performances","2","someone who engages a person or company for performances"
"Booker_T._Washington","person","United States educator who was born a slave but became educated and founded a college at Tuskegee in Alabama (1856-1915)","1","United States educator who was born a slave but became educated and founded a college at Tuskegee in Alabama (1856-1915)"
"Booker_Taliaferro_Washington","person","United States educator who was born a slave but became educated and founded a college at Tuskegee in Alabama (1856-1915)","1","United States educator who was born a slave but became educated and founded a college at Tuskegee in Alabama (1856-1915)"
"bookie","person","a gambler who accepts and pays off bets (especially on horse races)","1","a gambler who accepts and pays off bets (especially on horse races)"
"booking_agent","person","someone who engages a person or company for performances","1","someone who engages a person or company for performances"
"booking_clerk","person","someone who sells tickets (e.g., theater seats or travel accommodations)","1","someone who sells tickets (e.g., theater seats or travel accommodations)"
"bookkeeper","person","someone who records the transactions of a business","1","someone who records the transactions of a business"
"booklover","person","someone who loves (and usually collects) books","1","someone who loves (and usually collects) books"
"bookmaker","person","a maker of books","1"," someone who edits or publishes or binds books"
"bookman","person","a learned person (especially in the humanities)","1"," someone who by long study has gained mastery in one or more disciplines"
"bookseller","person","the proprietor of a bookstore","1","the proprietor of a bookstore"
"bookworm","person","a person who pays more attention to formal rules and book learning than they merit","1","a person who pays more attention to formal rules and book learning than they merit"
"Boole","person","English mathematician","1"," creator of Boolean algebra (1815-1864)"
"boomer","person","a member of the baby boom generation in the 1950s","1"," ""they expanded the schools for a generation of baby boomers"""
"Boone","person","an American pioneer and guide and explorer (1734-1820)","1","an American pioneer and guide and explorer (1734-1820)"
"boor","person","a crude uncouth ill-bred person lacking culture or refinement","1","a crude uncouth ill-bred person lacking culture or refinement"
"booster","person","a person who backs a politician or a team etc.","1"," ""all their supporters came out for the game""; ""they are friends of the library"""
"boot_maker","person","a maker of boots","1","a maker of boots"
"bootblack","person","a person who polishes shoes and boots","1","a person who polishes shoes and boots"
"Booth","person","United States actor and assassin of President Lincoln (1838-1865)","3","United States actor and assassin of President Lincoln (1838-1865)"
"bootlegger","person","someone who makes or sells illegal liquor","2","someone who makes or sells illegal liquor"
"bootlicker","person","someone who humbles himself as a sign of respect","1"," who behaves as if he had no self-respect"
"bootmaker","person","a maker of boots","1","a maker of boots"
"boozer","person","a person who drinks alcohol to excess habitually","1","a person who drinks alcohol to excess habitually"
"border_patrolman","person","someone who patrols the borders of a country","2","someone who patrols the borders of a country"
"borderer","person","an inhabitant of a border area (especially the border between Scotland and England)","1","an inhabitant of a border area (especially the border between Scotland and England)"
"bore","person","a person who evokes boredom","1","a person who evokes boredom"
"Boreas","person","(Greek mythology) the god who personified the north wind","1"," ""Boreas was pictured as bearded and powerful and winged and draped against the cold"""
"Borges","person","Argentinian writer remembered for his short stories (1899-1986)","1","Argentinian writer remembered for his short stories (1899-1986)"
"Borgia","person","Italian pope whose nepotism put the Borgia family in power in Italy (1378-1458)","1","Italian pope whose nepotism put the Borgia family in power in Italy (1378-1458)"
"Boris_Fyodorovich_Godunov","person","czar of Russia (1551-1605)","1","czar of Russia (1551-1605)"
"Boris_Godunov","person","czar of Russia (1551-1605)","1","czar of Russia (1551-1605)"
"Boris_Karloff","person","United States film actor (born in England) noted for his performances in horror films (1887-1969)","1","United States film actor (born in England) noted for his performances in horror films (1887-1969)"
"Boris_Leonidovich_Pasternak","person","Russian writer whose best known novel was banned by Soviet authorities but translated and published abroad (1890-1960)","1","Russian writer whose best known novel was banned by Soviet authorities but translated and published abroad (1890-1960)"
"Boris_Pasternak","person","Russian writer whose best known novel was banned by Soviet authorities but translated and published abroad (1890-1960)","1","Russian writer whose best known novel was banned by Soviet authorities but translated and published abroad (1890-1960)"
"Boris_Spassky","person","Russian chess master who moved to Paris","1"," world champion from 1969 to 1972 (born in 1937)"
"Boris_Vasilevich_Spassky","person","Russian chess master who moved to Paris","1"," world champion from 1969 to 1972 (born in 1937)"
"Born","person","British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)","1","British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)"
"born-again_Christian","person","a Christian who has experienced a dramatic conversion to faith in Jesus","1","a Christian who has experienced a dramatic conversion to faith in Jesus"
"Bornean","person","a native or inhabitant of Borneo","1","a native or inhabitant of Borneo"
"Borodin","person","Russian composer (1833-1887)","1","Russian composer (1833-1887)"
"borrower","person","someone who receives something on the promise to return it or its equivalent","2","someone who receives something on the promise to return it or its equivalent"
"bos'n","person","a petty officer on a merchant ship who controls the work of other seamen","1","a petty officer on a merchant ship who controls the work of other seamen"
"Bosch","person","Dutch painter (1450-1516)","1","Dutch painter (1450-1516)"
"Bose","person","Indian physicist who with Albert Einstein proposed statistical laws based on the indistinguishability of particles","1"," led to the description of fundamental particles that later came to be known as bosons"
"boss","person","a person who exercises control over workers","4"," ""if you want to leave early you have to ask the foreman"""
"Bostonian","person","a native or resident of Boston","1","a native or resident of Boston"
"bosun","person","a petty officer on a merchant ship who controls the work of other seamen","1","a petty officer on a merchant ship who controls the work of other seamen"
"Boswell","person","Scottish author noted for his biography of Samuel Johnson (1740-1795)","1","Scottish author noted for his biography of Samuel Johnson (1740-1795)"
"botanist","person","a biologist specializing in the study of plants","1","a biologist specializing in the study of plants"
"botcher","person","someone who makes mistakes because of incompetence","1","someone who makes mistakes because of incompetence"
"Botticelli","person","Italian painter of mythological and religious paintings (1444-1510)","1","Italian painter of mythological and religious paintings (1444-1510)"
"bottom_dog","person","a person of low status","1","a person of low status"
"bottom_feeder","person","an opportunist who profits from the misfortunes of others","1","an opportunist who profits from the misfortunes of others"
"Bougainville","person","French explorer who circumnavigated the globe accompanied by scientists (1729-1811)","1","French explorer who circumnavigated the globe accompanied by scientists (1729-1811)"
"boulevardier","person","a visitor of a city boulevard (especially in Paris)","1","a visitor of a city boulevard (especially in Paris)"
"Boulez","person","French composer of serial music (born in 1925)","1","French composer of serial music (born in 1925)"
