FrameNet frame,Definition
Intentional_deception,"A Deceiver performs some action so that the Victim ends up with an incorrect understanding about some Topic. The Means may be via communication, perceptual obscuration, or merely performing an action ..."
Intentional_traversing,A Self_mover intentionally moves in a Directionon a Path relative to landmark that is neither the Source nor the Goal of the overall motion. The shape or configuration of the Path may be expressed wit...
Intentionally_act,This is an abstract frame for acts performed by sentient beings. It exists mostly for FE inheritance. 'I carried out the deed easily .'
Intentionally_affect,"An Agent causes a Patient to be affected, sometimes by a particular Means or by use of an Instrument. 'A professional dishwasher doesn't do dishes with a rag anymore!'"
Intentionally_create,"The Creator creates a new entity, the Created_entity, possibly out of Components. 'The Libyans were generating arms for export.'"
Intercepting,"A volitionally acting Interceptor takes control, without being authorized to do so by the sender, of a Theme that is underway from a sender to a recipient. The Interceptor (or somebody on whose behalf..."
Interior_profile_relation,"A Figure is located in the interior (the Profiled_region--see Locative_relation frame) of the Ground. Some members of this frame indicate the plexity of the Ground, as either single-entity gestalt (in..."
Interrupt_process,A Cause (or associated Actor) causes an ongoing Process to temporarily stop. 'The error interrupted the process.'
Intoxicants,An Intoxicant is ingested in order to achieve an altered state of consciousness. A Type or Descriptor may be indicated as well. ' We smoked some high-grade marijuana.' 'They smoked freebase cocaine.'
Intoxication,This frame concerns people being in an altered mental state that is induced by an Intoxicant. 'Cory was drunk.' 'Nutty stormed in drunk as a fiddler.'
Invading,"The Invader enters a Land in an aggressive attempt to cripple or dominate its people and its government. 'In August 1990 ,Iraq was invading Kuwait , which led to the Gulf war .' 'Some towns in Russia ..."
Irregular_combatants,"A Combatant is declared or loyal to a Side in a military Conflict. The Combatant is not part of any regular or (highly) organized fighting organization (such as an army), and is not necessarily a figh..."
Isolated_places,"A Place is located far off from centers of population, culture, and/or trade. 'I'm from the middle of nowhere, California.'"
Judgment,"A Cognizer makes a judgment about an Evaluee. The judgment may be positive (e.g. respect) or negative (e.g. condemn), and this information is recorded in the semantic types Positive and Negative on th..."
Judgment_communication,"A Communicator communicates a judgment of an Evaluee to an Addressee. The judgment may be positive (e.g. praise) or negative (e.g. criticize), and this is indicated by the semantic types Positive and ..."
Judgment_direct_address,"In this frame, a Communicator judges the Addressee and then communicates that appraisal directly to the Addressee. The judgment is given for a particular Reason or about a particular Topic. 'The princ..."
Judgment_of_intensity,A speaker characterizes the intensity of an Attribute of an Entity by a Degree. 'He has a severe behavioral disorder.'
Judicial_body,"A Source_of_authority, typically a government, relies upon a set of institutions specialized for the administration of justice. These Judicial_body s hear cases that originate within their Jurisdictio..."
Jury_deliberation,The Jury discuss the Case and its Charges in order to evaluate the Possible_sentence of the accused. 'The jury deliberated his guilt.'
Just_found_out,"An Experiencer, Expressor, or State can be described as having a surprised emotion as evoked by a Stimulus or concerning a Topic. 'I was more shocked about the child than she was.' 'Mrs Nowak was surp..."
Justifying,"An Agent has done or omitted to do an Act or is responsible for the obtaining of a State_of_affairs, which a Judge deems to constitute a violation of an obligation or a moral guideline. The Agent give..."
Key,"This frame is for objects, physical or otherwise, which are used to grant access to some location or function. 'Robert's master keycard opens any door in the building.' 'Robert's master keycard opens ..."
Kidnapping,"The words in this frame describe situations in which a Perpetrator carries off and holds the Victim against his or her will by force. '' 'Two men kidnapped a Millwall soccer club employee, police said..."
Killing,A Killer or Cause causes the death of the Victim. 'John drowned Martha.'
Kinship,"This frame contains words that denote Kinship relations. In annotating the directional uses of these words, we use the standard terms from anthropology, Ego and Alter. 'Matilde is Gilberto's cousin on..."
Knot_creation,An Agent creates a Knot (possibly in a Place and/or with an Instrument).'Loretta ties the most beautiful bowline I've ever seen.''If you can tie a half-hitch around the table leg with only that much s...
Labeling,A Speaker uses as a Label to refer to an Entity. The Label is not a conventional name for the Entity but a description categorizing the Entity and thereby expressing a judgment. 'Some labeled him a wo...
Labor_product,"An Agent or a Cause mentally or physically expends energy rendering an Input, whether implicit or explicit, into a Output. 'Erosion is the work of wind and water on rock.' NB: The Input in the case of..."
Launch_process,"An Agent acts to begin the life of a Process. 'After discovering her knack for organization, she decided to try to launch a career in human resources.' 'The City of Bratislava has launched a pilot pro..."
Law,"A Law regulates activities or states of affairs within a Jurisdiction, dictating what Required states should be the case and what Forbidden states should not. Often it also indicates negative conseque..."
Law_enforcement_agency,A law enforcement Agency is tasked by a government with guaranteeing compliance with the laws in a particular Jurisdiction. 'She works for the Oakland police.'
Leadership,"These are words referring to control by a Leader over a particular entity or group (the Governed) or an Activity. The frame contains both nouns referring to a title or position (e.g. director, king, p..."
Leaving_traces,"A piece of Evidence indicates that an Event occured, or metonymically, Entity had formerly existed, in a Location. The Evidence consists of physical changes to the Location that resulted from the Even..."
Left_to_do,"A Process of using or modifying is scheduled to be applied to a group or mass. At a certain Time, the Remainder that is still left to be processed can be identified. The Agent who is in line to work o..."
Legal_rulings,An Authority with the power to make decisions hands down a Finding over a question presented in a formal or informal Case. 'The judge ruled yesterday that the revisions were not adequate. DNI' 'A high...
Legality,"Words in this frame describe the status of an Action with respect to a Code of laws or rules. An Object may also be in violation or compliance of the Code by virtue of its existence, location or posse..."
Lending,The Lender gives the Theme to the Borrower with the expectation that the Borrower will return the Theme to the Lender after a Duration of time. This frame differs from the Borrowing frame in that this...
Level_of_force_exertion,"An Exerter, Action, or Force is capable of exerting or does exert a physical force at a level specified by the target. That physical force may cause deformation or breakage of, or simply motion in the..."
Level_of_force_resistance,"A Resisting_entity is capable of resisting or does resist a physical Opposing_force to a level specified by the target. With certain LUs (e.g. impregnable.a), the Opposing_force FE is incorporated, an..."
Level_of_light,There is a gradable amount of light in a particular Location. In some cases the Source of light may be indicated instead of the Location. '' 'The small print was bearly readable by the light of the ve...
Light_movement,"An Emitter emits a Beam of light from a Source, along a Path, and/or towards a Goal. Essentially, this frame denotes the (semi-)fictive motion of the the Beam. 'Avoid allowing light to shine into neig..."
Likelihood,This frame is concerned with the likelihood of a Hypothetical_event occurring. The Hypothetical_event is its only core frame element. 'It is likely that he'll arrive late.' Notice that in the case whe...
Limitation,An Entity that would be expected to have a characteristic to a certain degree (typically based on comparison to other entities of the same type) instead has a more limited degree of that characteristi...
Limiting,"An Agent or Cause limits a Range_of_options to having a certain Characteristic. The Characteristic may be that only certain types of the Range_of_options may be acceptable, or (in the case of a plural..."
Linguistic_meaning,"A linguistic Form has a particular Meaning, possibly restricted to a particular Context. Some linguistic Forms, nouns and nominal expressions, also can refer to an object in the real or an imagined wo..."
Lively_place,"A Location is characterized by a high amount of (often goal-oriented) Activity, or metonymically, with Individuals who are engaged in the activity. 'The park was abuzz with people.'"
Living_conditions,"An Experiencer must cope with some Condition for a prolonged period, usually against his or her will. 'Americans live in fear.'"
Locale,"This frame contains general locale words, and is mostly a place-holder in the hierarchy. Words in this frame designate relatively stable bounded ares of the world which have permanent Relative_locatio..."
Locale_by_characteristic_entity,A Locale is characterized by the type of entity associated with the Locale. Some words specifically denote regions characterized by the individuals who typically live or work there. Typcial such Chara...
Locale_by_collocation,A Profiled_region is identified as being the region where an Entity is located. 'State your location.' 'I can't get a lock on their position.'
Locale_by_event,"A place defined in terms of an event which occurred (or will occur) there. 'Woodstock, NY was the site of the most important rock concert of 1969.' 'Our meeting site was chosen for its solitude.' In t..."
Locale_by_ownership,A place defined by an Owner. 'Get off my property!'
Locale_by_use,"Geography as defined by its use. 'You must land in the next airfield, as this one is currently having difficulties.' 'The new sports complex was the tallest building on campus, oddly enough.' 'Cities ..."
Locale_closure,"A building or location that can be sealed to prevent entrance, the Locale, ceases to be open for use. 'That park closed last year.'"
Locating,A Perceiver determines the Location of a Sought_entity within a Ground. 'Kim found his hat on the far side.'
Location_in_time,"The word(s) in this frame detail a particular moment in time.These often occur with demonstratives such as this and that. 'Late that day, 1776, America declared sovereignty.'"
Location_of_light,"A perceptible Figure shows up against a Ground location due to Light shining on/from it, its salience possibly dependent on a Cause_of_shine. 'The grass glistened with dew.' 'Still glowing from the fo..."
Locative_relation,"A Figure is located relative to a Ground location. 'The cat is on the mat.' 'The kitchen, with its breakfast / snack bar, adjoins on one side while the dining area adjoins on the other side. DNI' 'The..."
Losing,This frame describes a situation in which an Owner loses his or her Possession. The Owner may have failed to keep ownership of their Possession (i.e. robbery or gambling) or may have unintentionally m...
Losing_it,"An Protagonist goes from a default state of mental and emotional equilibrium into a temporary state of disequilibrium, often a state of anger. A Reason for the change of state may be given. Likewise, ..."
Losing_someone,This frame describes a Sufferer who experiences the loss of someone through death. The LUs in this frame imply a strong emotional connection between the Sufferer and the Deceased. 'She lost her husban...
Losing_track_of_perceiver,"This frames describes a Theme who evades the sight of a Perceiver. The focus of this frame is the Theme, which appears in subject position. This frame contrasts with the opposing perspective in Losing..."
Losing_track_of_theme,"This frames describes a Perceiver who fails to keep sight of a Theme. The focus of this frame is the Perceiver, which appears in subject position. This frame contrasts with the opposing perspective in..."
Luck,"A State_of_affairs is evaluated as good (or bad), against a background assumption that previously, the State_of_affairs was thought to be unlikely to occur. The State_of_affairs holds for a particular..."
Make_acquaintance,"Individuals first encounter each other and make introductions at a particular Time, Place, or Context. The Individuals may have known of each other before making introductions. The Individuals may be ..."
Make_agreement_on_action,"Two (or more) people (the Parties, also encodable as Party_1 and Party_2) negotiate an agreement. Both sides are construed as making a commitment to assume an Obligation--the process is understood to ..."
Make_cognitive_connection,"Using Evidence, which may or may not be expressed, a Cognizer recognizes or proves that Concept1 is associated causally or collocationally with another concept, Concept2. These may be expressed collec..."
Make_compromise,"Two (or more) people (the Parties, also encodable as Party_1 and Party_2) come to an agreement committing them to carrying out an Obligation. The agreement is construed as non-ideal for both parties b..."
Make_noise,"A physical entity, construed as a point-Sound_source, emits a Sound. This includes animals and people making noise with their vocal tracts. Sometimes the sound itself is referred to with a nominal exp..."
Making_arrangements,An Agent performs a series of unspecified tasks to plan for an Event to take place at a Scheduled_time and Place. 'I've arranged a breakfast meeting for you tomorrow morning with Mr. Huntsberger.' 'Ke...
Making_faces,"An Agent makes a particular facial expression, generally in response to some Internal_cause (generally an emotional state). Sometimes the Body_part involved in the expression is mentioned in lieu of t..."
Manipulate_into_doing,A Manipulator gets his Victim to perform a Resulting_action against what their better judgment would have been at the time. The means by which the Manipulator overcomes or bypasses the Victim's resist...
Manipulate_into_shape,An Agent manipulates a Theme so that it ends up in a particular shape or configuration denoted by a Resultant_configuration. 'She molded the playdough into a ball.'
Manipulation,"The words in this frame describe the manipulation of an Entity by an Agent. Generally, this implies that the Entity is not deeply or permanently physically affected, nor is it overall moved from one p..."
Manner,"A Manner describes general or specific characteristics of an event in one of three ways: First, it can refer to how a Comparison_event transpires, absent the influence of an entity (e.g. ""the way you ..."
Manner_of_life,"An Experiencer actualizes a certain pattern of behavior, a Lifestyle, which persists for a significant period of time in the Experiencer's life and is recognized as part of his character or normal rou..."
Manufacturing,A Producer produces a Product from a Resource for commercial purposes. ' They produced only half of the units after an injunction to follow the environmental policy.'
Margin_of_resolution,The Outcome of a contest is described in terms of the Margin between what would be required for victory and the actual Outcome. 'The Basque nationalists won a narrow victory in the regional elections ...
Mass_motion,"A Mass_theme, generally made up of many individuals, moves from a Source to a Goal with some Path. 'Emails from so-called Nigerian princes flooded inboxes all over the US.'"
Mathematical_relationship,"A mathematical expression Expression_1 has a relationship with another mathematical expression Expression_2. This relationship may be of equality, inequality, or near-equality. The Type of the equatio..."
Means,An Agent makes use of a Means (either an action or a (system of) entities standing in for the action) in order to achieve a Purpose. (This frame may be broadened to include non-agentive intermediate a...
Measurable_attributes,"An Entity has a particular scalar Attribute with a value exceeding a contextually-specified or generally-understood standard. Except where there is a difference in FEs, we place all adjectives related..."
Measure_area,This transparent noun frame is concerned with Units for measuring the Area of regions.'Hillary lives in the middle of 10 acres of wheat.''Paul owns 20 hectares of land.'
Measure_by_action,This frame involves words that provide a measure for some undelimited (mass) Entity by referring to an Event that a prototypical quantity (or duration) of the Entity stereotypically participates in. T...
Measure_duration,"This frame contains (transparent ) nouns that are Units of measurement for time. The frame elements are Count, Unit and Process. 'The final total was 606, scored in only 10 hours of excellent batsmans..."
Measure_linear_extent,"This frame is concerned with nouns that denote Units of measurement for linear extent. The Frame Elements are Unit, Count, and Stuff.'The shirt is made from 12 miles of pure cotton.''81 miles of dyke ..."
Measure_mass,"This frame is concerned with nouns that denote Units of measurement for masses. The Frame Elements are Unit, Count, and Stuff.'Jelena bought three kilos of apples.''Add a pound of sugar.'"
Measure_volume,"This frame is concerned with nouns that denote Units of measurement for volumes. The Frame Elements are Unit, Count, Stuff, and Size. The frame will be split soon into container-derived volumes (box, ..."
Medical_conditions,"Words in this frame name medical conditions or diseases that a patient suffers from, is being treated for, may be cured of, or die of. The condition or disease may be described in a variety of ways, i..."
Medical_instruments,This frame includes words for medical instruments--i.e. Instruments designed for an institutional function or Purpose. 'Use thestethoscope to check his lungs.'
Medical_interaction_scenario,"A Patient interacts with one or more Medics (doctors, nurses, and/or EMTs with a responsibility for the Patient's health) so that the Medics can determine the health status of the Patient and maintain..."
Medical_intervention,Procedural or Medicine based Interventions are used on a Patient to attempt to alleviate a Medical_condition. These interventions can have a Frequency_of_success as well as Side_effects. This frame di...
Medical_professionals,This frame includes words that name medical professionals and is closely related to the Medical_specialties frame. The FE Type characterizing a Professional's sub-specialty may also be expressed. 'Ral...
Medical_specialties,This frame includes words that name medical specialties and is closely related to the Medical_professionals frame. The FE Type characterizing a sub-are in a Specialty may also be expressed. 'Ralph pra...
Medium,"Words in this frame describe a relationship in which an Item is expressed through a Text. 'The act of murder is rampant in the Bible.' 'In his State of the Union Address, President Bush committed our ..."
Meet_specifications,"An Agent or Entity becomes sufficient enough to meet a Standard. Alternatively, an action or occurrence can be thought of as Event that fulfills a Standard. In this frame, the Agent, Entity, or Event ..."
Meet_with,"In this frame Party_1 meets with Party_2 at a prearranged Time and Place. If expressed, Purpose only applies to Party_1. The Purpose of the meeting is usually discussion over a certain topic. 'I met w..."
Meet_with_response,A Trigger elicits a Response. The Response may either be some kind of action meant to address the Trigger event or an expressed judgment of the Trigger event. 'Our proposal met with harsh criticism.'
Member_of_military,"A Person is a member of an organized military organization belonging to a nation-state or similar body. The military membership may be part-time, but is considered a job. This is in opposition to comb..."
Membership,A Member is semi-permanently part of a socially constructed Group. 'Victor is part of the Red Crescent'
Memorization,"A Cognizer applies oneself to commit a Pattern to memory, so that the Cognizer would recognize future examples of the Pattern or be able to reproduce it. 'A gaggle of students were frantically memoriz..."
Memory,This frame is concerned with Cognizers remembering and forgetting mental Content. 'John forgot everything about his uncle.'
Mental_property,The adjectives and nouns in this frame are all based on the idea that mental properties may be attributed to a person (Protagonist) by a (usually implicit) Judge on the basis of that person's Behavior...
Mental_stimulus_exp_focus,An Experiencer has an emotion as caused by a Stimulus or concerning a Topic. 'I fall asleep hours later to the sound of their engrossed murmuring.' 'Most of these great lords are downright infatuated ...
Mental_stimulus_stimulus_focus,A Stimulus serves to bring about an emotion of mental stimulation in an Experiencer. 'You will not easily find a more absorbing box-set of piano discs.' 'New classes of free radical are particularly i...
Mention,"A Communicator or Medium briefly references something in a Message, in which only a subpart of the full content is profiled. 'The General Secretary mentions some of them in his report.' 'The Queen 's ..."
Military,"Some Possessor, either a nation, institution, or private individual, controls a Force whose primary functions to defend the Possessor (or, in the case of an institution or individual, some area of lan..."
Military_operation,"The Military of a Possessor (either a nation, institution, or private individual) conducts large-scale activities in a Area to accomplish military or combined military/non-military goals. 'These group..."
Mining,"A Miner attempts to obtain a desirable Resource, rocks and minerals, located in a Place being mined, by digging or tunneling in the ground. 'They mine diamonds in Africa.'"
Misdeed,"A Wrongdoer engages in a Misdeed. 'You have sinned for the last time, Stephen!'"
Money,Money is a medium used for exchanging goods and services. It is in most cases issued by a government (its Creator) in the form of coins and banknotes. Particular amounts of it may have a designated or...
Morality_evaluation,In this frame an Evaluee is described by a (usually implicit) Judge with respect to the morality or rightness of his or her Behavior. 'That was very righteous of you to help him.'
Motion,"Some entity (Theme) starts out in one place (Source) and ends up in some other place (Goal), having covered some space between the two (Path). Alternatively, the Area or Directionin which the Theme mo..."
Motion_directional,"In this frame a Theme moves in a certain Direction which is often determined by gravity or other natural, physical forces. The Theme is not necessarily a self-mover. ' The paper fell to the floor.' ' ..."
Motion_noise,"This frame pertains to noise verbs used to characterize motion. Motion_noise verbs take largely the same Source, Path and Goal expressions as other types of Motion verbs. 'The reception doors banged o..."
Moving_in_place,"A Theme moves with respect to a Fixed_location, generally with a certain Periodicity, without undergoing unbounded translational motion or significant alteration of configuration/shape. 'It vibrated f..."
Name_conferral,This frame contains words that talk about how Speakers name Entities. 'They drove through an area nicknamed Sniper's Alley' 'His parents named him Winston after the British prime minister.' In this fr...
Namesake,An Entity shares a name with its Namesake. Note that the shared name is not a frame element as it cannot be directly expressed as an argument of the target lexical units in this frame. 'Alberta's name...
Natural_features,"The Locale is a geographical location as defined by shape. This frame includes natural geographic features, including land/ice forms and bodies of water. ' We climbed up the rock cliff.'"
Needing,"The speaker believes that some state of affairs or entity (the Requirement) must be present in order to cause some other dependent state of affairs to occur (the Dependent). In the typical case, the C..."
Negation,"This frame models the semantic contribution of negation, in which the profiled content of the Negated_proposition is asserted to contrast incompatibly with a corresponding Factual_situation, which is ..."
Negative_conditional,"An Anti_consequence is presented as not occurring if the Profiled_possibility occurs. 'Unless we try harder , we 're gonna lose an opportunity here .'"
Network,"A set of entities of the same or similar types (Nodes) are linked to each other by Connections to form a Network allowing for the flow of information, resources, etc. 'For the most part, the Interstat..."
Noise_makers,"The Noise_maker is an artifact used to produce sound, especially for musical effect. 'The church bells rang' 'The car alarm went off again' 'I have never played an acoustic guitar.' 'Each artist perso..."
Non-commutative_process,"LUs in this frame describe a non-commutative process (as opposed to a generic statement) of arithmetic, e.g. subtraction and division, involving two numbers, labeled Term_1 and Term_2. Because of the ..."
Non-commutative_statement,"LUs in this frame describe a non-commutative statement of arithmetic, e.g. subtraction and division, involving two numbers, labeled Term_1 and Term_2. This frame contrasts with Arithmetic_non-commutat..."
Non-gradable_proximity,"A Figure is characterized as near the Ground, according to some contextually given scale. Many lexical units of this frame additionally specify in which direction relative to the Ground one can find t..."
Noncombatant,This frame contains words that denote people who are not participating in a military Conflict. 'Jones was a noncombatant in WWII.' 'News comes in every day of civilians getting caught up in military o...
Notability,"An entity is considered worthy of mention for their ability or influence among some Type of similar entities. The entity need not be well-known or famous, though if it is, it may be stated by its Name..."
Notification_of_charges,"The judge or other court officer (the Authority) informs the Accused of the Charges against him/her, i.e. the alleged actions and the relevant laws. '' 'The board has been accused by the federal court..."
Nuclear_process,"An Initial_element is converted into a Final_element via a process of decay, fusion, or fission which changes the number or type of hadrons (protons or neutrons) in the nucleus of the atoms that make ..."
Objective_influence,"An Influencing_entity, an Influencing_situation, or an Influencing_variable has an influence on a Dependent_entity, Dependent_situation, or a Dependent_variable. '' Compare to Subjective_influence. Wo..."
Obscurity,"An Entity is obscure, unnotable, and in general little-known. In the case of an eventive Entity, lack of fame entails a large number of people not being aware of the event's occurence; in the case of ..."
Obviousness,"A Phenomenon is portrayed with respect to the Degree of likelihood that it will be perceived and known, given the (usually implicit) Evidence, Perceiver, and the Circumstances in which it is considere..."
Occupy_rank,This frame is about Items in the state of occupying a certain Rank within a hierarchy. 'He ranks second in his class in mathematics.'
Offenses,Words in this frame describe acts in violation of a legal code. 'He was accused of hijacking a tour bus full of people.'
Offering,"An Offerer indicates that he or she is able and willing to give a Theme to a Potential_recipient. In the absence of further qualifications, it is often understood that the Potential_recipient accepts ..."
Offshoot,"This frame refers to a part of an organization that becomes separate from the main body. The part is usually partially or even wholly autonomous, and may eventually become larger than the body from wh..."
Omen,"One phenomenon, the Predictive_phenomenon is an indication of the future or current (but still uncertain) existence of another phenomenon, the Future_phenomenon. There is no Cognizer present on the sc..."
Ontogeny,An Entity develops from a Prior_state to a Post_state. The Entity can also be represented by an entity-denoting adjective which is labeled Domain as shown in the first example below. NOTE: This frame ...
Openness,"A Useful_location is accessible to some (possibly generic) Theme despite a potential Barrier, or is not accessible because of the Barrier. 'I left the door to the lobby open for you.' 'I left the door..."
Operate_vehicle,"The words in this frame describe motion involving a Vehicle and someone who controls it, the Driver. Some words normally allow the Vehicle to be expressed as a separate constituent. 'Tim drove his car..."
Operating_a_system,An Operator manipulates the substructure of a System such that the System performs the function it was created for. This frame differs from the Using frame in that this frame does not profile the purp...
Operational_testing,A Tester uses a concrete or conceptual Product in order to determine either whether it works or to find out how well or in which manner it works. The Tester may have particular Unwanted_characteristic...
Opinion,"A Cognizer holds a particular Opinion, which may be portrayed as being about a particular Topic. 'John thinks that it looks better back .' 'Well, my opinion about that is none of your business. ' 'Wha..."
Opportunity,"An Agent has a choice of whether or not to participate in some Desirable_event because of an Opportunity, a situation not completely under the Agent's control and usually of a limited duration. 'It wo..."
Optical_image,"This frame describes non-artifact Images resulting from an interation between light and some kind of matter, usually a Source entity. 'I could see John's silhouette in the corner as I entered the diml..."
Ordinal_numbers,"An Item is picked out either by the order in which the members of a set would be encountered by an implicit cognizer, or by the order in which the members of a set participate in an event or state whi..."
Organization,"This frame describes intentionally formed human social groups (here termed Organizations) with some definite structure and Members. They may be relatively informal, consisting only of a group of indiv..."
Origin,"An Entity began its existence in the context of a Origin, which can be a place, culture, time period, text, etc. 'The Christian origin of this quote is from Isaiah 22.' 'Dinosaurs originated from Anta..."
Others_situation_as_stimulus,An Experiencer feels an emotion as evoked as an Other. 'One might pity the frail old man in East Berlin.' 'She appealed for compassion for sufferers.' 'I feel for women who also long to have children ...
Out_of_existence,An Entity has ceased to exist. 'Theses termites are history.' 'Hillary is toast after Texas and Ohio.' 'They are gone because you killed them all.'
Pardon,"An Authority excuses an Offense that an Offender has committed, with the effect of ending or preventing any punishment. 'President Ford pardoned her after it came to light she was being held in Japan ..."
Part_edge,This describes a part_whole relationship where the Part provides the boundary between the Whole and what is not that object. The Part can exist along a continuum of width. It can be modified by an Ori...
Part_inner_outer,This frame concerns Parts of objects that are defined relative to the center or edge of the object. The Part is a part of the Whole and the Part_prop describes a property of the Part. 'She discarded t...
Part_ordered_segments,In this frame a Part is part of a larger Whole comprised of parts that are ordered. The Parts can be ordered temporally (first to last and vice versa) or vertically (down to up and vice versa). The Pa...
Part_orientational,"In this frame, there is a Part of a Whole in which the Part is defined with respect to the canonical or inherent orientation of the Whole. In cases where the Target is an adjective, it has a special r..."
Part_piece,"This frame is concerned with transparent nouns denoting a Piece of a Substance. Also present is Piece_prop which is a property of the Piece, e.g. relating to its size. 'Kim ate a tiny morsel of cake '..."
Part_whole,"This frame is concerned with nouns denoting a part or parts of a Whole entity . The Part is not defined relative to the Whole's orientation, center, or edge and is not ordered. We also annotate proper..."
Partiality,This frame has to do with the bias or lack of bias of a Judge making an assessment concerning two or more Sides. The Sides may stand opposed to each other in a dispute or be alternatives in a situatio...
Participation,"An Event with multiple Participants takes place. It can be presented either symmetrically with Participants or asymmetrically, giving Participant_1 greater prominence over Participant_2. If the Event ..."
Partitive,"A Subset is profiled against the Group it belongs to. The Subset may consist of a single member. Frequently, the Group is actually a generic sample of a full population, and the Subset is representati..."
Passing,"An Agent physically transfers a Theme to a Recipient. The Agent is not under control of the Theme's motion after the initial input of energy. Compare with Bringing and Sending. In the former, the Carr..."
Passing_off,"An Agent acts in such a way as to cause others to think that an Item is an instance of a particular kind of Simulated_entity. 'He had, under the name of Armitage, passed her off as a member of one of ..."
Path_shape,"The words in this frame describe the ""fictive"" motion of a stationary Road. Some of the targets cast the scene primarily in terms of the Path_shape: 'The long mountain road meandered through the woods..."
Path_traveled,"A Path, a series of connected locations, is traversed by a Theme, moving under its own power or under the influence of a physical force. The Path may be described in various terms depending on whether..."
Patrolling,"An individual or group, the Patrol moves through and examines a Ground in order to ensure that it is in a generally Desired_state_of_affairs, particularly that it is safe and contains no dangerous Unw..."
Pattern,"This frame describes the interrelation of a collection of Entities; they may be physical entities or shapes in a recognizable configuration, a pattern of events, or a relation among abstract entities...."
People,"This frame contains general words for Individuals, i.e. humans. The Person is conceived of as independent of other specific individuals with whom they have relationships and independent of their parti..."
People_along_political_spectrum,"An Individual belongs to a group that is categorized in terms of the political views on particular issues that the members of the group tend to share, in opposition to other groups that hold different..."
People_by_age,This frame contains words for individuals as viewed in terms of their age. The Person is conceived of as independent of other specific individuals with whom they have relationships and independent of ...
People_by_jurisdiction,"This frame contains words for individuals, i.e. humans, who are governed by virtue of being registered in a certain Jurisdiction. Alternatively, they may be conceptualized with respect to their govern..."
People_by_military_specialty,The LUs in this frame refer to Fighter in Military_organizations according to their specialty in general or their function at a particular place and time. The Fighter may be part of a nation-state's a...
People_by_morality,"This frame contains general words for Individuals, i.e. humans, whose specific acts or general behavior is evaluated against standards of morality or rightness. The Person may have an Age, Descriptor,..."
People_by_origin,"This frame contains words for individuals, i.e. humans, with respect to their Origin. The Origin is generally incorporated, but may occasionally be specified separately. The Person is conceived of as ..."
People_by_religion,"This frame contains words for individuals, i.e. humans, with respect to their Religion. The Religion is generally incorporated, but with some lexical units it is specified separately. 'The bells call ..."
People_by_residence,"This frame contains words for individuals, i.e. humans, with respect to their proximity of residence. This relationship may be defined either symmetrically (as Residents) or asymmetrically (in terms o..."
People_by_vocation,This frame contains words for Individuals as viewed in terms of their vocation. The Person is conceived of as independent of other specific individuals with whom they have relationships and independen...
Perception_active,This frame contains perception words whose perceivers intentionally direct their attention to some entity or phenomenon in order to have a perceptual experience. For this reason we call the perceiver ...
Perception_body,This frame contains words describing physical experiences that can affect virtually any part of the body. The body part affected is almost always mentioned with these words. It is typically expressed ...
Perception_experience,This frame contains perception words whose Perceivers have perceptual experiences that they do not necessarily intend to. For this reason we call the Perceiver role Perceiver_passive. Comparing the Pe...
Performers,This frame contains words for Individuals as viewed in terms of their participation in artistic performances. The Person is conceived of as independent of other specific individuals with whom they hav...
Performers_and_roles,"A Performer has a certain Role in a Performance and plays their part by following the directions in the Script for that particular Role. 'Margaret Thatcher played Juliet in a school play.' '""Pulp Fict..."
Performing_arts,"The Performers, together with behind the scenes Personnel, execute a Performance according to a Script and/or Score. The purpose of the Performance is to create an experience for an Audience, who then..."
Personal_relationship,"The words in this frame have to do with people and the personal Relationships they are or can be a part of. Some of the words denote people engaged in a particular kind of Relationship, others denote ..."
Personal_success,A Person is in a state of prosperity and/or renown after some period of development or hardship in an Endeavor. LUs in this frame invoke a developmental path that is related to the goal one should hav...
Physical_artworks,"A physical object, the Artifact, is produced by a Creator to stimulate the perceptions, emotions, or cognition of an audience. Though it need not, in many cases, the created Artifact is intended to re..."
Piracy,The words in this frame describe situations in which a Perpetrator forcibly seizes control over a Victim's Vehicle to gain some end. '' 'French farmers have hijacked a lorry and destroyed its load of ...
Placing,"Generally without overall (translational) motion, an Agent places a Theme at a location, the Goal, which is profiled. In this frame, the Theme is under the control of the Agent/Cause at the time of it..."
Planned_trajectory,"A Theme traverses a trajectory. This trajectory consists of a Source, Path, and Goal. If the Theme is sentient, the anticipated trajectory will usually be equivalent to the planned trajectory. If the ..."
Planting,This frame describes a situation in which the Agent puts the Theme into the Ground for the purpose of growing. 'He recently planted some old apple trees. INI '
Plants,"The LUs in this frame refer to biological entities other than human beings and animals, which are labeled by the FE Plant."
Point_of_dispute,"The answer to a Question is under discussion in a Group, which still has a difference of opinion among its members. The prominence of the Question relative to others can be indicated by a Status expre..."
Political_actions,"A less-powerful person or group of people (the Activists) engages in an activity aimed to inconvenience or weaken a more powerful person or group (the Institution) to seek redress, in the form of a se..."
Political_locales,"This frame covers words that name Locations as defined politically, or administratively. 'Berkeley is a wonderful city.'"
Popularity,"An Evaluee, which can be a person or an object, has an amount of acceptability or utilization based on general (often non-aesthetic) desirability. The Judge who determines the Evaluee's desirability m..."
